index,predicted_copy_number
ASV1,1.969354534
ASV2,4.701490923
ASV3,9.013523294
ASV4,1.263223975
ASV5,3.166690302
ASV6,9.530580109
ASV7,1.268050068
ASV8,1.222310827
ASV9,2.114087105
ASV10,5.816323183
ASV11,3.468210977
ASV12,5.277883733
ASV13,1.484577759
ASV14,1.520712762
ASV15,5.528995243
ASV16,2.019441584
ASV17,1.506272962
ASV18,2.676597971
ASV19,1.906163986
ASV20,4.456017849
ASV21,1.164786432
ASV22,2.696620178
ASV23,10.60881405
ASV24,1.644072868
ASV25,1.580317793
ASV26,1.200298697
ASV27,1.600627149
ASV28,2.02596559
ASV29,1.764848621
ASV30,2.544612888
ASV31,1.543131509
ASV32,2.08190482
ASV33,1.260119176
ASV34,1.75479621
ASV35,1.876410917
ASV36,1.813203101
ASV37,1.98454689
ASV38,5.993869902
ASV39,2.809937976
ASV40,1.869510653
ASV41,3.666528584
ASV42,1.743048156
ASV43,1.84031642
ASV44,3.175526469
ASV45,3.006422481
ASV46,2.481562615
ASV47,1.199767839
ASV48,2.323371975
ASV49,2.474248067
ASV50,1.750961153
ASV51,4.615830141
ASV52,1.895916329
ASV53,2.305150465
ASV54,1.452073489
ASV55,1.624767615
ASV56,1.807388263
ASV57,1.894902618
ASV58,1.808589615
ASV59,1.417116922
ASV60,2.51118152
ASV61,1.760477413
ASV62,2.53494142
ASV63,2.577057583
ASV64,3.03613174
ASV65,1.773595608
ASV66,2.97620162
ASV67,11.08500085
ASV68,1.679196711
ASV69,4.888357397
ASV70,2.928259948
ASV71,2.305009356
ASV72,1.804366378
ASV73,1.783053501
ASV74,1.516723759
ASV75,2.280688058
ASV76,6.802668145
ASV77,2.983041107
ASV78,1.463542599
ASV79,1.678763334
ASV80,1.97907112
ASV81,2.157259464
ASV82,1.374409214
ASV83,2.122190184
ASV84,2.893060433
ASV85,2.260926871
ASV86,2.135713573
ASV87,1.872865309
ASV88,1.646954702
ASV89,2.741705629
ASV90,1.551571644
ASV91,2.397782156
ASV92,1.672965674
ASV93,1.656439712
ASV94,1.86182874
ASV95,1.260216881
ASV96,2.541172194
ASV97,2.630723937
ASV98,2.732616507
ASV99,2.637788727
ASV100,3.415410973
ASV101,1.711319527
ASV102,2.850852663
ASV103,3.628667423
ASV104,2.665371862
ASV105,1.343307216
ASV106,1.64026481
ASV107,2.291321659
ASV108,1.972109605
ASV109,6.608302588
ASV110,3.000152509
ASV111,2.200524703
ASV112,2.466707707
ASV113,5.004888887
ASV114,2.155908173
ASV115,1.871418515
ASV116,3.052701316
ASV117,1.764567678
ASV118,1.507231132
ASV119,2.035339718
ASV120,5.01998917
ASV121,4.685291274
ASV122,4.772530078
ASV123,3.637404022
ASV124,2.157104716
ASV125,3.003987698
ASV126,2.873582406
ASV127,2.246942466
ASV128,1.360643067
ASV129,2.353716707
ASV130,2.241852589
ASV131,1.745003436
ASV132,1.812544083
ASV133,1.789730084
ASV134,1.370522686
ASV135,1.652499893
ASV136,1.525531566
ASV137,2.105599061
ASV138,1.045475862
ASV139,1.308230117
ASV140,3.22668784
ASV141,1.90792746
ASV142,3.488710066
ASV143,1.974297527
ASV144,9.109260946
ASV145,3.800356926
ASV146,2.855721344
ASV147,1.521822585
ASV148,1.63231542
ASV149,1.425771839
ASV150,2.51775769
ASV151,1.797855198
ASV152,2.875740959
ASV153,1.458039587
ASV154,1.759928992
ASV155,2.979776734
ASV156,1.713992013
ASV157,3.944236123
ASV158,4.758709609
ASV159,1.41347668
ASV160,1.747362034
ASV161,2.907167263
ASV162,2.920688167
