ID_16S,ID_ITS,Jar_ID,Timepoint,Block,Mineral,Litter,respired_litter_c_perc,maom_formation_efficiency
LupLancExp1-2-B-G-1-1-1-16S-1,LupLancExp1-2-B-G-1-1-1-ITS-1,1_1,15 Days,1,Unamended,No Litter,0,NA
LupLancExp1-2-B-E-2-1-2-16S-1,LupLancExp1-2-B-E-2-1-2-ITS-1,1_2,15 Days,2,Unamended,No Litter,0,NA
LupLancExp1-2-B-H-3-1-3-16S-1,LupLancExp1-2-B-H-3-1-3-ITS-1,1_3,15 Days,3,Unamended,No Litter,0,NA
LupLancExp1-1-A-F-8-1-4-16S-1,LupLancExp1-1-A-F-8-1-4-ITS-1,1_4,15 Days,4,Unamended,No Litter,0,NA
LupLancExp1-1-A-D-8-1-5-16S-1,LupLancExp1-1-A-D-8-1-5-ITS-1,1_5,15 Days,5,Unamended,No Litter,0,NA
LupLancExp1-2-B-C-3-1-11-16S-1,LupLancExp1-2-B-C-3-1-11-ITS-1,1_11,15 Days,1,Unamended,Winter Wheat,23.28375426,NA
LupLancExp1-2-B-C-1-1-12-16S-1,LupLancExp1-2-B-C-1-1-12-ITS-1,1_12,15 Days,2,Unamended,Winter Wheat,24.5005399,NA
LupLancExp1-2-B-A-2-1-13-16S-1,LupLancExp1-2-B-A-2-1-13-ITS-1,1_13,15 Days,3,Unamended,Winter Wheat,23.20018847,NA
LupLancExp1-1-A-B-10-1-14-16S-1,LupLancExp1-1-A-B-10-1-14-ITS-1,1_14,15 Days,4,Unamended,Winter Wheat,23.74265363,NA
LupLancExp1-1-A-G-8-1-15-16S-1,LupLancExp1-1-A-G-8-1-15-ITS-1,1_15,15 Days,5,Unamended,Winter Wheat,22.74551732,NA
LupLancExp1-2-B-F-3-1-6-16S-1,LupLancExp1-2-B-F-3-1-6-ITS-1,1_6,15 Days,1,Unamended,White Clover,40.71420883,NA
LupLancExp1-2-B-D-2-1-7-16S-1,LupLancExp1-2-B-D-2-1-7-ITS-1,1_7,15 Days,2,Unamended,White Clover,40.05399576,NA
LupLancExp1-1-A-H-12-1-8-16S-1,LupLancExp1-1-A-H-12-1-8-ITS-1,1_8,15 Days,3,Unamended,White Clover,40.51229582,NA
LupLancExp1-1-A-A-11-1-9-16S-1,LupLancExp1-1-A-A-11-1-9-ITS-1,1_9,15 Days,4,Unamended,White Clover,39.64618711,NA
LupLancExp1-1-A-B-7-1-10-16S-1,LupLancExp1-1-A-B-7-1-10-ITS-1,1_10,15 Days,5,Unamended,White Clover,38.8254264,NA
LupLancExp1-2-B-G-2-1-16-16S-1,LupLancExp1-2-B-G-2-1-16-ITS-1,1_16,15 Days,1,Goethite,No Litter,0,NA
LupLancExp1-2-B-B-3-1-17-16S-1,LupLancExp1-2-B-B-3-1-17-ITS-1,1_17,15 Days,2,Goethite,No Litter,0,NA
LupLancExp1-2-B-D-1-1-18-16S-1,LupLancExp1-2-B-D-1-1-18-ITS-1,1_18,15 Days,3,Goethite,No Litter,0,NA
LupLancExp1-1-A-C-12-1-19-16S-1,LupLancExp1-1-A-C-12-1-19-ITS-1,1_19,15 Days,4,Goethite,No Litter,0,NA
LupLancExp1-1-A-F-9-1-20-16S-1,LupLancExp1-1-A-F-9-1-20-ITS-1,1_20,15 Days,5,Goethite,No Litter,0,NA
LupLancExp1-2-B-G-3-1-26-16S-1,LupLancExp1-2-B-G-3-1-26-ITS-1,1_26,15 Days,1,Goethite,Winter Wheat,21.93202941,NA
LupLancExp1-2-B-A-4-1-27-16S-1,LupLancExp1-2-B-A-4-1-27-ITS-1,1_27,15 Days,2,Goethite,Winter Wheat,22.78504907,NA
LupLancExp1-1-A-D-9-1-28-16S-1,LupLancExp1-1-A-D-9-1-28-ITS-1,1_28,15 Days,3,Goethite,Winter Wheat,21.93528328,NA
LupLancExp1-1-A-H-7-1-29-16S-1,LupLancExp1-1-A-H-7-1-29-ITS-1,1_29,15 Days,4,Goethite,Winter Wheat,22.06358353,NA
LupLancExp1-1-A-D-11-1-30-16S-1,LupLancExp1-1-A-D-11-1-30-ITS-1,1_30,15 Days,5,Goethite,Winter Wheat,21.56330615,NA
LupLancExp1-1-A-G-12-1-21-16S-1,LupLancExp1-1-A-G-12-1-21-ITS-1,1_21,15 Days,1,Goethite,White Clover,38.57992677,NA
LupLancExp1-2-B-A-1-1-22-16S-1,LupLancExp1-2-B-A-1-1-22-ITS-1,1_22,15 Days,2,Goethite,White Clover,38.52392123,NA
LupLancExp1-2-B-B-1-1-23-16S-1,LupLancExp1-2-B-B-1-1-23-ITS-1,1_23,15 Days,3,Goethite,White Clover,37.78592785,NA
LupLancExp1-1-A-B-11-1-24-16S-1,LupLancExp1-1-A-B-11-1-24-ITS-1,1_24,15 Days,4,Goethite,White Clover,36.36083526,NA
LupLancExp1-1-A-D-7-1-25-16S-1,LupLancExp1-1-A-D-7-1-25-ITS-1,1_25,15 Days,5,Goethite,White Clover,33.37807625,NA
LupLancExp1-2-B-H-1-1-31-16S-1,LupLancExp1-2-B-H-1-1-31-ITS-1,1_31,15 Days,1,Kaolinite,No Litter,0,NA
LupLancExp1-2-B-C-2-1-32-16S-1,LupLancExp1-2-B-C-2-1-32-ITS-1,1_32,15 Days,2,Kaolinite,No Litter,0,NA
LupLancExp1-1-A-F-11-1-33-16S-1,LupLancExp1-1-A-F-11-1-33-ITS-1,1_33,15 Days,3,Kaolinite,No Litter,0,NA
