,Kingdom,Phylum,Class,Order,Family,Genus,predicted_copy_number
ASV1,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,1.969354534
ASV2,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,4.701490923
ASV3,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,9.013523294
ASV4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,1.263223975
ASV5,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,3.166690302
ASV6,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,9.530580109
ASV7,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,1.268050068
ASV8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,1.222310827
ASV9,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,2.114087105
ASV10,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,5.816323183
ASV11,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,3.468210977
ASV12,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,5.277883733
ASV13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,1.484577759
ASV14,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Piscinibacter,1.520712762
ASV15,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,5.528995243
ASV16,Bacteria,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,2.019441584
ASV17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,1.506272962
ASV18,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,2.676597971
ASV19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,1.906163986
ASV20,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,4.456017849
ASV21,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,1.164786432
ASV22,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,2.696620178
ASV23,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina,10.60881405
ASV24,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,NA,1.644072868
ASV25,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,1.580317793
ASV26,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,1.200298697
ASV27,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,1.600627149
ASV28,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Terrabacter,2.02596559
ASV29,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,1.764848621
ASV30,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,2.544612888
ASV31,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,1.543131509
ASV32,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus,2.08190482
ASV33,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,1.260119176
ASV34,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,1.75479621
