Jar_ID,Treatment_ID,Mineral,Litter,DaysSinceAddn,sampling_date,total_respired_c,cum_total_respired_c,litter_derived_c,cum_litter_derived_c,soil_derived_c,cum_soil_derived_c,primed_c,cum_primed_c,perc_13c,cum_perc13c
R2_1,C-NL,Unamended,No Litter,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_2,C-NL,Unamended,No Litter,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_3,C-NL,Unamended,No Litter,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_4,C-NL,Unamended,No Litter,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_5,C-NL,Unamended,No Litter,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_6,C-W,Unamended,Winter Wheat,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_7,C-W,Unamended,Winter Wheat,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_8,C-W,Unamended,Winter Wheat,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_9,C-W,Unamended,Winter Wheat,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_10,C-W,Unamended,Winter Wheat,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_11,C-C,Unamended,White Clover,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_12,C-C,Unamended,White Clover,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_13,C-C,Unamended,White Clover,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_14,C-C,Unamended,White Clover,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_15,C-C,Unamended,White Clover,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_16,G-NL,Goethite,No Litter,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_17,G-NL,Goethite,No Litter,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_18,G-NL,Goethite,No Litter,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_19,G-NL,Goethite,No Litter,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_20,G-NL,Goethite,No Litter,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_21,G-W,Goethite,Winter Wheat,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_22,G-W,Goethite,Winter Wheat,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_23,G-W,Goethite,Winter Wheat,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_24,G-W,Goethite,Winter Wheat,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_25,G-W,Goethite,Winter Wheat,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_26,G-C,Goethite,White Clover,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_27,G-C,Goethite,White Clover,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_28,G-C,Goethite,White Clover,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_29,G-C,Goethite,White Clover,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
R2_30,G-C,Goethite,White Clover,0,27/10/2020,0,0,0,0,0,0,0,0,0,0
