Sample,Timepoint,Block,Mineral,Litter,respired_litter_c_perc_T15,mbc_litter_c_perc_T15,respired_litter_c_perc_T126,maom_litter_c_perc_T126,lightpom_litter_c_perc_T126,heavypom_litter_c_perc_T126,totalpom_litter_c_perc_T126,mbc_litter_c_perc_T126,primed_c_mug_g_T126,maom_formation_efficiency,total_maom_c_content_mg_g,litter_maom_c_content_mg_g,som_maom_c_content_mg_g,CUE_T15
1,2,1,Unamended,No Litter,,,,,,,,,,,16.53946346,,16.53946346,
2,2,2,Unamended,No Litter,,,,,,,,,,,17.05038076,,17.05038076,
3,2,3,Unamended,No Litter,,,,,,,,,,,17.45736264,,17.45736264,
4,2,4,Unamended,No Litter,,,,,,,,,,,16.12526846,,16.12526846,
5,2,5,Unamended,No Litter,,,,,,,,,,,16.27381337,,16.27381337,
6,2,1,Unamended,Winter Wheat,23.28375426,0.559833135,66.45559178,23.86603534,2.408583984,2.263256805,4.671840788,0.405062686,112.3282042,0.264233895,16.60711776,1.291423142,15.31569462,0.0234794
7,2,2,Unamended,Winter Wheat,24.5005399,1.686352821,66.33349073,23.94553382,1.558204694,6.371065189,7.929269883,0.881205486,61.14577392,0.265969149,17.25963928,1.366458547,15.89318073,0.064396828
8,2,3,Unamended,Winter Wheat,23.20018847,1.268296733,62.94347521,23.69005538,1.381831438,3.617331157,4.999162595,0.932965509,125.6256864,0.273451344,17.56845763,1.342266664,16.22619096,0.051833888
9,2,4,Unamended,Winter Wheat,23.74265363,1.50723892,65.26157764,27.3204005,2.100452902,1.961256802,4.061709704,0.785644695,109.5021402,0.295094154,17.79141077,1.5379751,16.25343567,0.059692885
10,2,5,Unamended,Winter Wheat,22.74551732,2.168260118,62.41414674,25.59856127,1.824155348,2.982618963,4.806774312,0.9834744,51.91692117,0.29085074,17.66675697,1.472613554,16.19414342,0.087030565
11,2,1,Unamended,White Clover,40.71420883,1.213425124,75.02768351,25.66131418,0.376011956,1.655303666,2.031315622,0.654139124,42.28218479,0.254857182,18.00706827,1.342859728,16.66420855,0.02894094
